,trade_dt,stcode,flag,pred_flag,prob,correct
0,2018-01-31,002856,-1.0,-1,0.12947769895186484,1
1,2018-01-31,300431,1.0,-1,0.19935356788654096,0
2,2018-01-31,603177,0.0,-1,0.20262827910615433,0
3,2018-01-31,000789,-1.0,-1,0.22199321980217987,0
4,2018-01-31,300058,1.0,-1,0.22241857275923627,1
5,2018-01-31,300017,1.0,-1,0.23666486326131095,0
6,2018-01-31,002879,-1.0,-1,0.24092997437123634,0
7,2018-01-31,600602,1.0,-1,0.24524667647178752,1
8,2018-01-31,603269,1.0,-1,0.24991177028928713,0
9,2018-01-31,300663,1.0,-1,0.25230190701900407,0
10,2018-01-31,600449,-1.0,-1,0.2524039719946165,0
11,2018-01-31,002742,0.0,-1,0.2583092110455628,0
12,2018-01-31,600071,1.0,-1,0.26024498958946574,0
13,2018-01-31,600731,0.0,-1,0.26401663464103103,0
14,2018-01-31,603286,-1.0,-1,0.26788949912536747,0
15,2018-01-31,600789,1.0,-1,0.2689749590665735,0
16,2018-01-31,600856,-1.0,-1,0.2744964807736616,0
17,2018-01-31,300059,-1.0,-1,0.2787917481115376,0
18,2018-01-31,600325,-1.0,-1,0.28066441576708523,0
19,2018-01-31,603676,-1.0,-1,0.2854944302474902,0
20,2018-01-31,002151,-1.0,-1,0.2889200429585647,0
21,2018-01-31,300487,0.0,-1,0.2910857586857235,0
22,2018-01-31,600460,1.0,-1,0.29129879343591475,0
23,2018-01-31,002457,0.0,-1,0.29198089429174334,0
24,2018-01-31,000996,1.0,-1,0.2925197437246634,0
25,2018-01-31,002797,-1.0,-1,0.2953951712388721,1
26,2018-01-31,002863,1.0,-1,0.29728718479490523,0
27,2018-01-31,002865,-1.0,-1,0.2981277225658719,0
28,2018-01-31,601952,0.0,-1,0.3008768507593115,0
29,2018-01-31,600858,1.0,-1,0.30102576635365913,1
30,2018-01-31,002353,0.0,-1,0.3023171397314412,0
31,2018-01-31,000567,1.0,-1,0.3036000502542993,1
32,2018-01-31,600125,-1.0,-1,0.3043657801436737,0
33,2018-01-31,300554,1.0,-1,0.3044530685925523,0
34,2018-01-31,603689,-1.0,-1,0.3049236333272377,0
35,2018-01-31,002655,0.0,-1,0.3066734736691255,0
36,2018-01-31,300448,-1.0,-1,0.30741088500361224,0
37,2018-01-31,600821,-1.0,-1,0.3087050457718473,0
38,2018-01-31,600740,1.0,-1,0.3093379658066534,1
39,2018-01-31,000672,0.0,-1,0.31048277706286437,1
40,2018-01-31,000507,-1.0,-1,0.3107952074739899,0
41,2018-01-31,000799,-1.0,-1,0.3111583542835353,1
42,2018-01-31,600890,0.0,-1,0.31132677204171216,1
43,2018-01-31,002447,1.0,-1,0.3113752109072208,0
44,2018-01-31,600383,-1.0,-1,0.31448677311299184,0
45,2018-01-31,000926,-1.0,-1,0.3149678467977706,0
46,2018-01-31,600684,-1.0,-1,0.3157881664583039,0
47,2018-01-31,600353,-1.0,-1,0.3169000689113103,0
48,2018-01-31,000537,-1.0,-1,0.3178986427276137,1
49,2018-01-31,603043,-1.0,-1,0.31829702937466003,0
50,2018-01-31,601899,-1.0,-1,0.31910161808424253,0
51,2018-01-31,300096,0.0,-1,0.3202903409692201,0
52,2018-01-31,002110,1.0,-1,0.32099840978819383,0
53,2018-01-31,300027,0.0,-1,0.3210082335089013,0
54,2018-01-31,300612,-1.0,-1,0.32337731613852083,0
55,2018-01-31,300569,-1.0,-1,0.3247215611386613,0
56,2018-01-31,603138,1.0,-1,0.3250653839855588,0
57,2018-01-31,002584,1.0,-1,0.3254061652498719,1
58,2018-01-31,002488,1.0,-1,0.32666431805746865,0
59,2018-01-31,603165,-1.0,-1,0.32679932851954485,0
60,2018-01-31,002419,1.0,-1,0.3275813880822166,0
61,2018-01-31,603559,1.0,-1,0.3275872972314675,0
62,2018-01-31,000735,0.0,-1,0.32796260710197783,0
63,2018-01-31,600171,1.0,-1,0.3291649859217088,0
64,2018-01-31,600808,0.0,-1,0.32917192466052086,0
65,2018-01-31,002622,-1.0,-1,0.3299085194140329,0
66,2018-01-31,300107,1.0,-1,0.3305229293549675,0
67,2018-01-31,603180,1.0,-1,0.3326986934902047,0
68,2018-01-31,600939,-1.0,-1,0.3330712938656268,0
69,2018-01-31,000587,0.0,-1,0.33333590757624876,1
70,2018-01-31,600064,-1.0,-1,0.3345547909385651,1
71,2018-01-31,603501,1.0,-1,0.3346591847591489,0
72,2018-01-31,002176,1.0,-1,0.3347724936137202,0
73,2018-01-31,600354,1.0,-1,0.33490313202653466,1
74,2018-01-31,600868,1.0,-1,0.33519383917718826,1
75,2018-01-31,002547,1.0,-1,0.33869420685365875,0
76,2018-01-31,300566,-1.0,-1,0.3388133100055898,0
77,2018-01-31,600621,-1.0,-1,0.3394252050721381,0
78,2018-01-31,300291,-1.0,-1,0.3402349667267264,0
79,2018-01-31,002165,-1.0,-1,0.34040327477428933,1
80,2018-01-31,300113,1.0,-1,0.34147182283207356,1
81,2018-01-31,600787,1.0,-1,0.3415316951306734,0
82,2018-01-31,600822,0.0,-1,0.3415590883130187,1
83,2018-01-31,600138,0.0,-1,0.3417459496977933,0
84,2018-01-31,300009,0.0,-1,0.34203664349474283,0
85,2018-01-31,002340,1.0,-1,0.34217990396701126,0
86,2018-01-31,000935,-1.0,-1,0.34499657149003454,0
87,2018-01-31,603980,0.0,-1,0.34519325556192554,0
88,2018-01-31,603444,-1.0,-1,0.34528520312219185,1
89,2018-01-31,002001,0.0,-1,0.34569647033428935,0
90,2018-01-31,601933,-1.0,-1,0.34632918093615495,0
91,2018-01-31,002053,0.0,-1,0.3466918065043465,0
92,2018-01-31,002882,0.0,-1,0.3473016899861279,0
93,2018-01-31,300561,0.0,-1,0.34746841120483984,0
94,2018-01-31,603323,0.0,-1,0.3477853045849511,1
95,2018-01-31,600517,0.0,-1,0.3486916432261166,0
96,2018-01-31,300019,0.0,-1,0.35003502240853035,0
97,2018-01-31,000720,0.0,-1,0.35009351514577797,0
98,2018-01-31,002190,0.0,-1,0.3503952033364447,1
99,2018-01-31,600340,-1.0,-1,0.350397911059828,1
100,2018-01-31,600230,0.0,-1,0.3511859982793548,0
101,2018-01-31,600048,-1.0,-1,0.35137869071247946,0
102,2018-01-31,000673,1.0,-1,0.35178702318346655,0
103,2018-01-31,603920,0.0,-1,0.3520428877005088,0
104,2018-01-31,000895,0.0,-1,0.3526410025346142,1
105,2018-01-31,600502,0.0,-1,0.3532909811580924,0
106,2018-01-31,002510,-1.0,-1,0.35341332175550677,0
107,2018-01-31,603797,1.0,-1,0.3539260188094923,0
108,2018-01-31,600206,1.0,-1,0.3539636273717796,0
109,2018-01-31,600060,1.0,-1,0.3551142926290752,0
110,2018-01-31,300413,1.0,-1,0.3552858551669391,0
111,2018-01-31,600643,1.0,-1,0.3559012827608266,0
112,2018-01-31,600345,0.0,-1,0.3566659939080473,0
113,2018-01-31,300267,-1.0,-1,0.35682282403078336,1
114,2018-01-31,000554,-1.0,-1,0.35707644351085227,0
115,2018-01-31,000732,-1.0,-1,0.35798267730296646,1
116,2018-01-31,603665,0.0,-1,0.35808470142180093,1
117,2018-01-31,300542,1.0,-1,0.3581471846557569,1
118,2018-01-31,300474,1.0,-1,0.3585187471735029,0
119,2018-01-31,603833,0.0,-1,0.35854830236626356,0
120,2018-01-31,002716,-1.0,-1,0.35875460900879413,1
121,2018-01-31,002610,0.0,-1,0.3588294580189307,0
122,2018-01-31,000066,-1.0,-1,0.3588855140720979,1
123,2018-01-31,300629,0.0,-1,0.35933985436962873,0
124,2018-01-31,600130,1.0,-1,0.3595395455767475,0
125,2018-01-31,002146,-1.0,-1,0.3595664240730736,0
126,2018-01-31,002234,1.0,-1,0.3595895566685988,1
127,2018-01-31,300418,1.0,-1,0.35998555254908304,1
128,2018-01-31,600727,0.0,-1,0.36051201050959486,0
129,2018-01-31,002092,-1.0,-1,0.3609140915037423,1
130,2018-01-31,601333,0.0,-1,0.3610690308835674,0
131,2018-01-31,600216,1.0,-1,0.3611516562613683,0
132,2018-01-31,000800,-1.0,-1,0.3614023711613005,1
133,2018-01-31,300631,-1.0,-1,0.3620828396047962,0
134,2018-01-31,603535,-1.0,-1,0.3621992550537262,1
135,2018-01-31,601595,-1.0,-1,0.36256686322956727,0
136,2018-01-31,002185,1.0,-1,0.3630179078584724,0
137,2018-01-31,000852,-1.0,-1,0.36301818754248866,1
138,2018-01-31,002333,1.0,-1,0.36326236076379265,1
139,2018-01-31,600004,0.0,-1,0.36356867844512586,0
140,2018-01-31,000729,0.0,-1,0.3636076767909179,0
141,2018-01-31,000036,-1.0,-1,0.3638342991130315,1
142,2018-01-31,002876,1.0,-1,0.36409001262144924,0
143,2018-01-31,603335,-1.0,-1,0.36447373404970085,0
144,2018-01-31,601069,1.0,-1,0.36456485581774306,0
145,2018-01-31,601228,0.0,-1,0.3656840167918629,1
146,2018-01-31,002846,-1.0,-1,0.3662263628905295,1
147,2018-01-31,300497,1.0,-1,0.36660513730986605,0
148,2018-01-31,002183,0.0,-1,0.3666431008035647,0
149,2018-01-31,002356,-1.0,-1,0.3672345677097652,0
150,2018-01-31,300181,0.0,-1,0.3672567689996736,0
151,2018-01-31,600068,1.0,-1,0.3675456467469438,0
152,2018-01-31,603708,-1.0,-1,0.36797839750301653,0
153,2018-01-31,603889,1.0,-1,0.3682613357407886,0
154,2018-01-31,603969,1.0,-1,0.3692646810685314,0
155,2018-01-31,000936,0.0,-1,0.36939057876064346,1
156,2018-01-31,300128,-1.0,-1,0.3694678105954108,1
157,2018-01-31,002106,-1.0,-1,0.3699873150013187,0
158,2018-01-31,000836,1.0,-1,0.37038817701172616,0
159,2018-01-31,300571,1.0,-1,0.3705953679187029,0
160,2018-01-31,002229,1.0,-1,0.37065177483822265,1
